artist,avg_popularity
Calum Scott,81.9863387978142
Andrezin Araújo,81.984615384615381
Dj Kevin Oficial,81.984615384615381
Ela Taubert,81.958333333333329
Harrykahanhai,81.954907161803717
Surf Curse,81.916666666666671
Ivete Sangalo,81.90000000000002
Ocean Alley,81.8780487804878
Brett Eldredge,81.875
Mae Stephens,81.8709677419355
Tiago PZK,81.869815668202762
Borges,81.867579908675808
Declan McKenna,81.852459016393439
DJ Nelson,81.845
Aziz Hedra,81.762032085561486
Mesita,81.76182136602452
Aliyah's Interlude,81.755319148936181
DENNIS,81.721682847896417
Quavo,81.701612903225808
Dhruv,81.699751861042174
Lauana Prado,81.656884875846515
King Gnu,81.646551724137936
Gerardo Coronel,81.633165829145725
Eternxlkz,81.627737226277389
Mc Ws da leste,81.6024844720497
Dj Chadin do C,81.6024844720497
MC Cothiê,81.6024844720497
Jay R,81.589595375722553
Train,81.571428571428569
LISA,81.561893203883514
Mc Livinho,81.548543689320383
Shy Smith,81.53648068669527
Romeo Santos,81.516624040920718
Jasleen Royal,81.515544041450781
MC GP,81.5082236842105
Javier Rosas Y Su Artillería Pesada,81.470588235294116
Lupe Borbon y su Blindaje 7,81.470588235294116
Los Patos Feos Inc,81.458598726114658
Brray,81.432653061224485
Laufey,81.427272727272722
Alex Warren,81.4155672823219
Geisha,81.38990825688073
Mr. Belt & Wezol,81.36962025316457
isq,81.36319612590799
THE BOX,81.359073359073349
Mc Brinquedo,81.359073359073349
Mc Laranjinha,81.359073359073349
Felipe Araújo,81.333333333333329
Obongjayar,81.2836879432624
Omega,81.272727272727266
BL3SS,81.260204081632651
CamrinWatsin,81.260204081632651
bbyclose,81.260204081632651
El Jordan 23,81.253869969040252
Felipe Amorim,81.25
Doble ONE Flow Letal,81.232758620689651
Britney Manson,81.2156862745098
Anggi Marito,81.213256484149866
Leona Lewis,81.209302325581376
FIFA Sound,81.2
Whitney Houston,81.181818181818187
Nemo,81.156862745098039
Kizzy,81.088050314465391
Seven Kayne,81.082758620689646
Neo Pistea,81.082758620689646
Enrique Iglesias,81.07476635514017
emmanuellcortess_,81.064676616915435
The Ronettes,81.063391442155321
Henry Freitas,81.04651162790698
Mc Lipi,81.0379746835443
MC Vinny,81.0379746835443
NOG,81.0379746835443
SunKissed Lola,81.028037383177562
Isadora Pompeo,81.01666666666668
James Hype,81
Miggy Dela Rosa,81
Clave Especial,81
White Noise Baby Sleep,81
The 1975,81
Alok,80.996036988110959
Jaz,80.981707317073173
twocolors,80.972972972972968
Safri Duo,80.972972972972968
Chris de Sarandy,80.972972972972968
Didi,80.938461538461539
Dj Lc da Roça,80.938461538461539
MC K9,80.938461538461539
MC Smith,80.938461538461539
Cher,80.924528301886781
Anne-Marie,80.909909909909885
raissa anggiani,80.899224806201559
Yandar & Yostin,80.893982808022912
Disciples,80.88636363636364
LOUKI,80.866141732283467
Bvga Beatz,80.803874092009693
Aan Story,80.798507462686572
Elsya,80.798507462686572
Ram Sampath,80.782201405152207
Prashant Pandey,80.782201405152207
Priya Mali,80.709677419354833
Jorge & Mateus,80.685106382978717
Muni Long,80.685057471264372
Kaique e Felipe,80.677966101694921
Sam Fender,80.670588235294119
Anuel AA,80.6635179984682
MC Cebezinho,80.657534246575338
Bryant Myers,80.580125687352719
Saiko,80.572506286672265
dj sv,80.549295774647888
Doug Hits,80.549295774647888
Manim Vaqueiro,80.549295774647888
Rudimental,80.542857142857144
Tito Double P,80.522881355932213
BigXthaPlug,80.5
Lynyrd Skynyrd,80.5
Lilithzplug,80.484848484848484
Kungs,80.482758620689665
MC G15,80.438297872340428
LB Único,80.436974789915965
"Bobby ""Boris"" Pickett",80.428571428571416
The Crypt-Kickers,80.428571428571416
iZaak,80.419655876348784
Luan Santana,80.413793103448285
Yahir Saldivar,80.4090909090909
Grelo,80.406862745098039
Dyan Dxddy,80.4
El Padrinito Toys,80.395348837209283
Complexo dos Hits,80.3888888888889
Joel De La P,80.36395759717314
RUXN,80.352941176470608
Memphis Cult,80.326460481099645
Groove Dealers,80.326460481099645
SPLYXER,80.326460481099645
Nat King Cole,80.32387706855792
MC Tuto,80.322259136212622
Haze,80.317277486911
TrapLaudo,80.310495626822146
Jay Wheeler,80.3003901170351
Luan Pereira,80.2909460834181
El Bogueto,80.2670807453416
Megan Thee Stallion,80.263235294117649
Tribbs,80.241519674355487
Molella,80.236111111111114
Mainstreet,80.235602094240832
Big One,80.224581005586586
Bhavi,80.218360071301234
DALÃMA,80.208053691275168
USHER,80.196428571428584
Mason,80.185185185185176
Princess Superstar,80.185185185185176
BABYMONSTER,80.180592991913741
Badger,80.177142857142854
Wesley Safadão,80.151785714285708
2KE,80.150793650793645
808iuli,80.150793650793645
Mc Dudu Sk,80.13333333333334
MC TH DA SERRA,80.13333333333334
Phil Jay,80.112903225806448
Slade,80.084745762711862
DJ JOÃO PEREIRA,80.068493150684944
Becky G,80.067375886524829
Lucenzo,80.047272727272727
Gala,80.034482758620683
Ícaro e Gilmar,80.016666666666666
Toploader,80
Aruma,80
Silk Sonic,80
Bonnie Tyler,80
Mikky Ekko,80
Tommy Newport,80
Blue Öyster Cult,80
Nirvana,80
Cúpula,79.999999999999986
DJ Sammer,79.990783410138235
Lana Del Rey,79.983502538071065
Soolking,79.950598802395191
Sharn,79.930555555555543
40k,79.930555555555543
The Paul,79.930555555555543
MC Koringa,79.927536231884062
Yung Filly,79.919999999999987
TOMORROW X TOGETHER,79.914691943127963
Mitraz,79.881967213114734
Mc Daniel,79.8798586572438
Leonardo Aguilar,79.861990950226229
Batas Senja,79.861244019138766
Diego & Victor Hugo,79.860215053763454
Israel & Rodolffo,79.848484848484844
Bou,79.831739961759084
Trigga,79.831739961759084
Takura,79.831739961759084
Flowdan,79.814885496183209
Clayton & Romário,79.8125
Idgitaf,79.791366906474835
Blessd,79.776676577469431
Nanpa Básico,79.77467411545625
Camila,79.766055045871539
Estevan Plazola,79.752808988764045
Pentatonix,79.75200000000001
Duki,79.747005988023957
Gittobeatz,79.734663710273452
Ayra Starr,79.724265678750967
Mc Pretchako,79.722448979591832
6YNTHMANE,79.6923076923077
MC Saci,79.680555555555557
wave to earth,79.666666666666671
Labrinth,79.666666666666671
The Kolors,79.639278557114224
KISS OF LIFE,79.629716981132077
Chris Brown,79.61363636363636
The Script,79.59689922480618
Julieta Venegas,79.583586626139819
Marka Akme,79.566176470588218
IRAH,79.558490566037733
De La Rose,79.550322580645158
Marc Seguí,79.5497382198953
Pol Granch,79.5497382198953
MC K.K,79.543478260869577
LeoZera,79.543478260869577
Thiago e Samuel,79.533333333333346
Os Parazim,79.533333333333346
Ángela Aguilar,79.52704791344668
Belinda,79.521739130434781
Fiersa Besari,79.516556291390714
Lyanno,79.514851485148512
Nikhita Gandhi,79.507299270072991
Carbonne,79.507194244604321
K y B,79.5
Alicia Keys,79.476190476190467
LIZOT,79.472222222222229
KYANU,79.472222222222229
Lyodra,79.466357308584691
MC Fahah,79.462962962962962
Sal Priadi,79.452631578947376
Nueva H,79.442105263157885
Choir,79.440366972477079
Gigi Perez,79.439306358381515
Greg Kurstin,79.413301662707823
Paradox,79.409836065573771
Andy Rivera,79.409793814433
La Oreja de Van Gogh,79.400948991696325
Bakermat,79.399999999999991
Victor Mendivil,79.388429752066116
HEARTSTEEL,79.378378378378372
tobi lou,79.378378378378372
Cal Scruby,79.378378378378372
Rashmeet Kaur,79.377934272300465
Donne Maula,79.375000000000014
BTS,79.370820668693014
The Lumineers,79.36363636363636
Day e Lara,79.333333333333343
Yandel,79.319189602446471
Traia Véia,79.317708333333343
Hannah Laing,79.30952380952381
RoRo,79.30952380952381
Anuv Jain,79.258527827648109
